word,syll1_coda,syll2_coda,syll2_td,frequency,prefix,stress_1700,stress_2005,stress_shifted
proceed,no,C,yes,3.993602992420569,pro,oxytone,diatone,1
protest,no,CC,yes,4.178226046202803,pro,oxytone,diatone,1
debate,no,C,yes,4.55650501400681,de,oxytone,oxytone,0
debauch,no,C,no,-1.3862943611198906,de,oxytone,oxytone,0
decay,no,0,no,2.505525936990736,de,oxytone,oxytone,0
decease,no,C,no,-1.3862943611198906,de,oxytone,diatone,1
decline,no,C,no,4.3208159036289855,de,oxytone,oxytone,0
decoy,no,0,no,0.22314355131420976,de,oxytone,diatone,1
decrease,no,C,no,3.188416617383492,de,oxytone,oxytone,0
decree,no,0,no,2.7245795030534206,de,oxytone,oxytone,0
defeat,no,C,yes,4.06474409244581,de,oxytone,oxytone,0
delay,no,0,no,4.098502572370764,de,oxytone,oxytone,0
delight,no,C,yes,3.305053521109253,de,oxytone,oxytone,0
demand,no,CC,yes,5.408292219756609,de,oxytone,oxytone,0
demise,no,C,no,1.9810014688665833,de,oxytone,oxytone,0
design,no,C,no,5.584435717023635,de,oxytone,oxytone,0
despair,no,C,no,2.7880929087757464,de,oxytone,oxytone,0
devise,no,C,no,3.1463051320333655,de,oxytone,oxytone,0
discharge,yes,C,no,3.3758795736778655,dis,oxytone,diatone,1
discourse,yes,C,no,3.305053521109253,dis,oxytone,diatone,1
disdain,yes,C,no,0.8109302162163288,dis,oxytone,oxytone,0
disease,no,C,no,4.675162557808126,dis,oxytone,oxytone,0
disgrace,yes,C,no,1.8325814637483102,dis,oxytone,oxytone,0
disguise,yes,C,no,2.6567569067146595,dis,oxytone,oxytone,0
disgust,yes,CC,yes,1.9810014688665833,dis,oxytone,oxytone,0
dislike,yes,C,no,2.9041650800285006,dis,oxytone,oxytone,0
dispatch,no,C,no,2.1102132003465894,dis,oxytone,oxytone,0
display,no,0,no,4.711779921046349,dis,oxytone,oxytone,0
dispose,no,C,no,2.7880929087757464,dis,oxytone,oxytone,0
dispraise,no,C,no,-1.3862943611198906,dis,oxytone,oxytone,0
dispute,no,C,yes,3.9560398908449206,dis,oxytone,oxytone,0
